店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
金澤玉寿司 総本店,050-5486-6309,,石川県,金沢市片町,2-21-19,,https://r779700.gorp.jp/,True
かわしげ,050-5485-0552,,沖縄県,那覇市松山,1-8-15,四季ビル1F,https://f280100.gorp.jp/,True
にぎり長次郎 イオンタウン東大阪店,050-5489-5306,,大阪府,東大阪市東鴻池町,1-6-32,,https://kds9328.gorp.jp/,True
びんび家 別館,050-5492-7954,,愛媛県,松山市二番町,1-10-4,番町ビル1F,https://s008901.gorp.jp/,True
琉球鮨 築地青空三代目 那覇本店,050-5486-4950,,沖縄県,那覇市松山,1-15-14,,https://fayz800.gorp.jp/,True
龍寿し,050-5488-7165,,新潟県,南魚沼市大崎,1838-1,,https://r528200.gorp.jp/,True
にぎり長次郎 寝屋川本店,050-5489-5326,,大阪府,寝屋川市石津南町,10-17,,https://kds9300.gorp.jp/,True
すし 旬の味 久松,050-5487-7354,,栃木県,宇都宮市平出町,1771-1,1F,https://hisamatsu.gorp.jp/,True
にぎり長次郎 京阪交野タウン店,050-5492-0965,,大阪府,交野市星田北,2-27-4,,https://k970371.gorp.jp/,True
築地玉寿司 YOKOHAMA BAY,050-5485-0673,,神奈川県,横浜市中区新港,1-3-1,MARINE＆WALK YOKOHAMA2F,https://tamasushi-minatomirai.gorp.jp/,True
うまい鮨勘 総本店,050-5484-9483,,宮城県,仙台市青葉区国分町,2-1-15,猪俣ビル1・2F,,
吉祥寺 鮨 栞庵 やましろ,050-5487-5583,,東京都,武蔵野市吉祥寺本町,1-9-9,壽楽ビル3F,https://ge73552.gorp.jp/,True
ちょこっと寿し 国際通り牧志店,050-5489-6270,,沖縄県,那覇市牧志,2-7-24,2F,https://fbgn100.gorp.jp/,True
にぎり長次郎 朝霧店,050-5489-5328,,兵庫県,明石市朝霧南町,4-1-33,,https://kds9342.gorp.jp/,True
すし屋 銀蔵 神谷町城山トラストタワー店,050-5487-2421,,東京都,港区虎ノ門,4-3-1,城山トラストタワー2F,https://g135792.gorp.jp/,True
にぎり長次郎 奈良二条大路店,050-5489-5310,,奈良県,奈良市二条大路南,1-3-18,,https://kds9325.gorp.jp/,True
魚の巣 阪急西宮北口店,050-5485-0939,,兵庫県,西宮市北口町,1,アクタ西宮西館1F,https://c428105.gorp.jp/,True
鮨 あしべ,050-5488-7154,,愛知県,名古屋市中区錦,3-19-10,シャルトル吉田ビル1～2F,https://n241030.gorp.jp/,True
寿し 関口,050-5485-2613,,北海道,札幌市中央区南,5条西4,アルトビル6F,https://sushi-sekiguchi.gorp.jp/,True
杜の都寿司田 仙台駅ビル店,050-5486-8880,,宮城県,仙台市青葉区中央,1-1-1,エスパル仙台B1,https://t099603.gorp.jp/,True
にぎり長次郎 日進竹の山店,050-5487-6640,,愛知県,日進市竹の山,2-1918,,https://nbr3100.gorp.jp/,True
肥後勝,050-5487-2861,,沖縄県,那覇市泉崎,1-7-19,,https://higokatsu.gorp.jp/,True
すし処 対州,050-5484-9358,,北海道,札幌市中央区南,5条西2,オークラビル5F,https://taisyu.gorp.jp/,True
寿司・和風料理　米八,050-5485-3402,,新潟県,長岡市東坂之上町,2-1-7,,https://sushi-yonehachi.gorp.jp/,True
海鮮・寿司居酒屋 七福本店,050-5487-7024,,神奈川県,川崎市中原区小杉町,1-403,武蔵小杉タワープレイス2F,https://umifuku-m.gorp.jp/,True
木乃間鮨総本店,050-5486-6239,,新潟県,長岡市台町,1-3-10,,https://sushi-konoma.gorp.jp/,True
いっちょう 本町店,06-6221-3148,,大阪府,大阪市中央区備後町,1-6-5,梨本ビル別館1F,https://itcho-honmachi.gorp.jp/,True
銀兆ikizushi 富山総曲輪店,050-5492-7853,,富山県,富山市総曲輪,3-2-6,池田ビル1F,https://r853003.gorp.jp/,True
亀多寿司 本店,050-5485-5018,,大阪府,大阪市北区曽根崎,2-5-25,亀多ビル1～3F,https://kak9700.gorp.jp/,True
江戸前廻鮮 すし華亭 宇都宮中央店,050-5488-3254,,栃木県,宇都宮市江野町,1-15,,https://e663611.gorp.jp/,True
鮨 弁慶 海,050-5486-4642,,新潟県,新潟市中央区古町通,9-1480-3,ヌーベル古町1F,https://sushi-benkei-umi.gorp.jp/,True
築地玉寿司 ささしぐれ 表参道ヒルズ店,050-5485-1920,,東京都,渋谷区神宮前,4-12-10,表参道ヒルズ本館3F,https://tamasushi-sasashigure-omotesando.gorp.jp/,True
海のちんぼらぁ,050-5485-3270,uminotinbora@iamenity.com,沖縄県,那覇市前島,2-13-15,,https://uminochinbora.gorp.jp/,True
くずし割烹 肴屋八兵衛 金山店,050-5484-1983,,愛知県,名古屋市熱田区金山町,1-13-8,ほたるビル1F,https://sakanayahachibe-kanayama.gorp.jp/,True
活鮨 魚發 神戸三宮,078-333-8877,punks104@yahoo.co.jp,兵庫県,神戸市中央区中山手通,1-13-8,村上ビル1F,https://kobe-hatsu.gorp.jp/,True
回転寿司やまと 袖ヶ浦駅前店,050-5489-1540,,千葉県,袖ケ浦市袖ヶ浦駅前,1-39-1,,https://gdw5731.gorp.jp/,True
鮨処 しん 鴨居・寿司,050-5484-3957,,神奈川県,横浜市緑区鴨居,4-2-26,柳下ビル1F,https://yokohama-sushidocoroshin.gorp.jp/,True
魚の飯 新橋,050-5484-2972,,東京都,港区新橋,1-5-5,国際善隣会館,https://g603409.gorp.jp/,True
目黒 すし太一,050-5487-1264,,東京都,目黒区中町,2-11-5,,https://gfx8200.gorp.jp/,True
にぎり長次郎 上桂店,050-5489-5309,,京都府,京都市西京区上桂三ノ宮町,50-3,,https://kds9327.gorp.jp/,True
高松屋 暁,050-5488-6180,,愛媛県,八幡浜市旧港,432,,https://s517600.gorp.jp/,True
鮨・和食ダイニング 天龍本店 つくば学園店,050-5485-1438,,茨城県,つくば市小野崎,88-21,,https://gf02801.gorp.jp/,True
炭焼 基～ｍｏｔｏｓｈｉ～,050-5484-8782,kawagoe-motoshi@sa8.gyao.ne.jp,埼玉県,川越市脇田町,27-5 1F,,https://g312708.gorp.jp/,True
海鮮魚力 光が丘IMA店,050-5492-1695,,東京都,練馬区光が丘,5-1-1,光ヶ丘IMA中央館3F,https://ghf2907.gorp.jp/,True
すし処おとわ 北新地本通り店,050-5485-1805,,大阪府,大阪市北区曽根崎新地,1-1-41,,https://k030002.gorp.jp/,True
にぎり長次郎 真美ヶ丘店,050-5489-5291,,奈良県,北葛城郡広陵町馬見北,9-1-33,,https://kds9305.gorp.jp/,True
すし屋 銀蔵 南越谷店,050-5486-2449,,埼玉県,越谷市南越谷,1-24-1,,https://g135757.gorp.jp/,True
にぎり長次郎 膳所店,050-5489-5287,,滋賀県,大津市におの浜,3-1-45,,https://kds9306.gorp.jp/,True
成田江戸ッ子寿司 参道本店,050-5486-8476,,千葉県,成田市花崎町,536-10,,https://naritaedokko.gorp.jp/,True
がんこ 枚方店,050-3187-3289,,大阪府,枚方市岡東町,11-17,,https://k026683.gorp.jp/,True
